Customer_ID,Recency,Frequency,MonetaryValue,Country
12347,2,8,4620.32,Iceland
12348,75,5,1658.3999999999999,Finland
12349,19,3,3319.06,Italy
12350,310,1,258.0,Norway
12352,36,9,1705.64,Norway
12353,204,2,406.76,Bahrain
12354,232,1,1062.8,Spain
12355,214,2,692.51,Bahrain
12356,23,6,4499.21,Portugal
12358,2,5,1523.47,Austria
12360,52,6,3353.41,Austria
12361,287,4,451.25,Belgium
12362,3,10,4520.27,Belgium
12364,8,4,1133.3999999999999,Belgium
12365,291,1,283.94,Cyprus
12367,4,1,150.9,Denmark
12369,413,3,1458.05,Austria
12370,51,7,3482.58,Cyprus
12371,60,4,2658.9300000000003,Switzerland
12372,72,3,1164.54,Denmark
12373,311,3,869.1500000000001,Austria
12374,25,3,2232.27,Austria
12375,11,2,286.1,Finland
12376,390,2,363.65,Switzerland
12377,315,4,2991.78,Switzerland
12378,130,2,5055.47,Switzerland
12379,82,4,1399.82,Belgium
12380,22,8,6323.35,Belgium
12381,5,3,1408.15,Norway
12383,185,5,1498.36,Belgium
12384,29,2,371.62,Switzerland
12385,379,1,1633.9,Belgium
12386,338,2,660.8000000000001,Australia
12387,415,1,143.94,Australia
12388,16,8,3612.6600000000003,Australia
12389,403,3,1070.33,Australia
12390,80,1,494.34000000000003,Belgium
12391,22,6,2469.84,Cyprus
12392,591,1,216.85000000000002,Australia
12393,72,6,2337.85,Australia
12394,64,2,1080.48,Belgium
12395,19,15,4370.18,Belgium
12397,36,2,2199.9,Belgium
12398,46,1,1381.46,Switzerland
12399,119,7,1762.26,Belgium
12400,414,1,205.25,Australia
12401,303,1,36.45,Belgium
12402,323,6,1039.4,Belgium
12403,50,1,9.9,Denmark
12405,149,1,1193.41,Finland
12406,22,5,5510.56,Denmark
12407,50,5,1309.3,Belgium
12408,33,8,3633.97,Belgium
12410,309,3,750.3100000000001,Switzerland
12411,410,1,346.9,Australia
12412,75,6,2324.77,Denmark
12413,67,4,774.65,France
12414,217,4,340.56,Austria
12417,3,20,5236.6,Belgium
12418,113,4,1883.7,Switzerland
12419,386,2,339.65000000000003,Spain
12420,64,1,585.54,Cyprus
12421,16,6,737.3000000000001,Spain
12422,96,12,3347.73,Switzerland
12423,1,10,2021.8500000000001,Belgium
12424,163,4,3196.12,Australia
12425,78,2,1472.8700000000001,Portugal
12426,195,2,1186.81,Germany
12427,22,3,949.3000000000001,Germany
12428,26,8,5145.9,Finland
12429,9,8,6728.39,Denmark
12430,43,1,216.4,Norway
12432,43,4,3242.12,Norway
12434,85,3,1027.83,Australia
12436,100,1,330.90999999999997,Norway
12438,14,2,2436.13,Norway
12440,462,2,514.2,Austria
12441,367,1,234.60000000000002,France
12442,3,1,144.06,Spain
12444,21,5,3926.7,Norway
12445,22,2,253.33,Spain
12446,58,1,949.56,RSA
12447,243,1,411.99,Belgium
12448,44,1,310.37,Spain
12449,22,5,4126.29,Belgium
12450,156,5,688.2,Spain
12452,17,1,348.57,Switzerland
12453,134,1,707.09,Austria
12455,73,9,4746.24,Cyprus
12456,44,3,2437.08,Switzerland
12457,86,5,2043.93,Switzerland
12458,71,4,1277.43,Switzerland
12459,605,1,398.36,Spain
12460,456,1,266.25,Belgium
12461,155,1,626.88,Switzerland
12462,19,2,907.39,Spain
12463,53,4,1138.05,Belgium
12464,10,8,957.05,Belgium
12465,17,2,665.59,Belgium
12467,423,1,132.8,USA
12468,188,5,3082.95,Germany
12469,523,2,2421.21,Thailand
12473,54,3,2344.4,Germany
12475,54,2,1050.34,Germany
12478,4,1,545.99,Greece
12479,11,1,443.2,Germany
12480,28,7,4410.03,Germany
12483,17,19,3952.54,Sweden
12484,35,9,4663.53,Spain
12485,529,1,633.7,Sweden
12486,432,1,821.82,Sweden
12488,10,3,1198.46,France
12489,336,1,289.03000000000003,France
12490,5,20,8199.04,France
12491,39,1,424.40000000000003,France
12492,63,3,521.5600000000001,Germany
12493,166,2,379.74,France
12494,16,9,1456.43,France
12496,620,2,42.84,Spain
12497,82,3,5965.0,Germany
12498,21,3,349.70000000000005,Germany
12499,560,1,338.22,Germany
12500,23,18,5206.76,Germany
12501,337,1,1834.06,Germany
12502,96,5,2740.67,Spain
12504,18,4,689.05,Germany
12505,409,1,787.2,Italy
12506,233,1,73.5,France
12507,134,4,1496.3600000000001,Spain
12508,26,2,378.65,France
12509,284,1,109.0,France
12510,143,7,2434.23,Spain
12511,429,1,2736.21,Greece
12512,66,2,106.47,Israel
12513,113,1,547.79,France
12514,267,2,1525.44,Italy
12515,353,1,243.0,Italy
12516,78,4,1731.48,Germany
12517,28,4,2199.67,Germany
12518,1,5,1780.5900000000001,Germany
12519,64,2,569.04,Germany
12520,79,5,2177.15,Germany
