Customer_ID,Frequency,MonetaryValue,Recency
12346,1,3.25,647
12347,8,3866.34,2
12348,5,1658.3999999999999,75
12349,3,2174.17,19
12350,1,258.0,310
12352,9,1245.09,36
12353,2,347.06,204
12354,1,810.8,232
12355,2,627.21,214
12356,5,3035.0,246
12357,2,9367.44,33
12358,5,1038.67,2
12359,9,3975.82,58
12360,6,2917.91,52
12361,4,451.25,287
12362,10,3848.27,3
12364,3,1046.7,8
12365,1,271.19,291
12366,1,500.24,634
12367,1,150.9,4
12368,1,342.8,628
12369,3,1358.75,413
12370,7,2989.87,51
12371,4,2355.08,60
12372,3,1085.04,72
12373,3,800.1500000000001,311
12374,3,2067.57,25
12375,2,254.3,11
12376,2,363.65,390
12377,4,2848.38,315
12378,2,4185.02,130
12379,4,1303.72,82
12380,8,5143.150000000001,22
12381,3,1123.8,5
12383,5,1252.76,185
12384,2,189.82000000000002,29
12385,1,1018.6,379
12386,2,464.0,338
12387,1,110.03999999999999,415
12388,8,3227.31,16
12389,3,999.63,403
12390,1,420.64,80
12391,5,1688.14,22
12392,1,196.95000000000002,591
12393,6,2258.55,72
12394,2,610.02,64
12395,15,3916.78,19
12396,1,686.48,674
12397,2,1699.6,36
12398,1,1257.56,46
12399,7,1762.26,119
12400,1,205.25,414
12402,6,1026.65,323
12403,1,9.9,50
12405,1,960.8100000000001,149
12406,5,4305.16,22
12407,5,1076.1,50
12408,8,3428.53,33
12409,6,16599.03,79
12410,2,474.21000000000004,309
12411,1,237.55,410
12412,6,2289.92,75
12413,4,506.15000000000003,67
12414,4,340.56,217
12415,20,71070.82,25
12416,1,182.28,657
12417,20,3410.0,3
12418,4,1040.41,113
12419,2,205.10000000000002,386
12420,1,395.69,64
12421,6,704.45,16
12422,12,3012.8,96
12423,10,1851.3,1
12424,4,3063.57,163
12425,2,1396.6200000000001,78
12426,2,1026.46,195
12427,3,528.07,22
12428,8,3933.05,26
12429,8,5620.6900000000005,9
12430,1,168.6,43
12431,23,6071.0,36
12432,3,1974.82,43
12433,9,17576.78,1
12434,3,682.58,85
12435,5,5612.68,80
12436,1,330.90999999999997,100
12437,38,8819.13,2
12438,2,1620.28,14
12439,2,722.6,683
12440,2,394.9,462
12441,1,234.60000000000002,367
12442,1,144.06,3
12443,1,204.03,732
12444,5,1882.1000000000001,21
12445,2,253.33,22
12446,1,681.61,58
12447,1,360.29,243
12448,1,228.87,44
12449,5,3236.84,22
12450,5,645.7,156
12451,8,10052.3,11
12452,1,267.82,17
12453,1,644.39,134
12454,4,1696.4,56
12455,9,3161.94,73
12456,3,1845.03,44
12457,5,1571.13,86
12458,4,1162.83,71
12459,1,351.61,605
12460,1,226.45000000000002,456
12461,1,387.73,155
12462,2,654.14,19
12463,4,1066.65,53
12464,4,76.5,150
12465,2,633.19,17
12467,1,132.8,423
12468,5,2730.52,188
12469,2,1417.41,523
12471,68,25131.8,2
12472,19,14210.210000000001,32
12473,3,2157.35,54
12474,29,9992.14,17
12475,2,858.79,54
12476,16,7842.97,16
12477,9,11210.82,23
12478,1,449.24,4
12479,1,396.35,11
12480,7,3357.9300000000003,28
12481,14,9104.89,23
12482,26,14946.04,576
12483,19,3794.7400000000002,17
12484,9,3880.48,35
12485,1,412.40000000000003,529
12486,1,716.37,432
12487,1,285.3,731
12488,3,884.36,10
12489,1,181.53,336
12490,20,7474.58,5
12491,1,354.7,39
12492,3,457.71000000000004,63
12493,2,350.09000000000003,166
12494,9,1219.33,16
12495,1,169.5,641
12496,2,42.84,620
12497,3,3858.1200000000003,82
12498,3,314.0,21
12499,1,321.22,560
12500,18,3908.5699999999997,23
12501,1,1627.26,337
